"","Id","Grupo","Edad","Sexo","Dedica_AP1","Dedica_DPyR1","ConPrevio","items","responses"
"350",232,2,19,0,1,1,0,"p21",0
"351",240,3,22,1,1,0,0,"p21",1
"352",314,3,20,0,0,0,1,"p21",0
"353",190,2,18,0,0,1,0,"p21",0
"354",295,3,19,0,1,1,0,"p21",0
"355",323,3,19,0,1,0,1,"p21",0
"356",17,1,20,0,1,1,1,"p21",0
"357",172,2,19,0,1,1,0,"p21",0
"358",247,3,21,0,1,1,0,"p21",1
"359",27,1,19,0,1,1,0,"p21",1
"360",169,2,19,1,0,0,0,"p21",0
"361",56,1,19,0,0,1,0,"p21",0
"362",57,1,18,0,0,1,0,"p21",0
"363",147,2,19,0,0,0,0,"p21",0
"364",188,2,19,0,1,0,0,"p21",0
"365",148,2,19,0,1,1,0,"p21",0
"366",269,3,19,0,0,0,0,"p21",0
"367",47,1,19,0,1,1,0,"p21",0
"368",108,1,20,1,1,1,1,"p21",1
"369",197,2,19,0,0,1,0,"p21",0
"370",120,1,27,1,0,0,0,"p21",0
"371",255,3,20,0,0,0,0,"p21",0
"372",209,2,19,0,1,0,0,"p21",0
"373",182,2,18,0,1,1,0,"p21",0
"374",14,1,20,0,1,0,0,"p21",0
"375",293,3,19,0,1,1,0,"p21",0
"376",88,1,18,0,1,0,0,"p21",0
"377",42,1,19,0,0,0,0,"p21",0
"378",254,3,20,1,1,0,1,"p21",0
"379",55,1,19,0,0,0,0,"p21",0
"380",307,3,18,0,1,1,0,"p21",1
"381",67,1,18,0,1,1,0,"p21",0
"382",159,2,19,0,1,1,0,"p21",1
"383",132,2,20,0,0,0,1,"p21",0
"384",228,2,19,0,0,1,0,"p21",1
"385",71,1,18,0,1,1,0,"p21",1
"386",297,3,19,0,1,1,0,"p21",1
"387",193,2,22,0,0,0,1,"p21",0
"388",5,1,24,0,0,0,1,"p21",0
"389",298,3,18,0,0,1,0,"p21",0
"390",302,3,18,0,1,1,0,"p21",0
"391",192,2,18,0,0,0,0,"p21",0
"392",189,2,18,0,0,1,0,"p21",0
"393",124,2,21,0,0,0,0,"p21",0
"394",112,1,18,0,1,1,0,"p21",0
"395",133,2,22,1,0,0,1,"p21",0
"396",261,3,20,1,1,0,1,"p21",0
"397",216,2,18,0,0,0,0,"p21",0
"398",33,1,19,0,1,0,0,"p21",0
"399",53,1,19,0,0,0,0,"p21",0
"400",248,3,21,0,1,0,1,"p21",0
"401",52,1,19,0,0,0,0,"p21",0
"402",102,1,19,0,1,1,0,"p21",0
"403",81,1,19,0,0,0,0,"p21",0
"404",199,2,19,0,0,0,0,"p21",0
"405",74,1,19,0,1,0,0,"p21",0
"406",322,3,19,0,0,0,0,"p21",0
"407",85,1,21,0,1,0,1,"p21",0
"408",327,3,23,1,0,0,1,"p21",0
"409",75,1,19,0,1,1,0,"p21",0
"410",277,3,19,0,1,1,0,"p21",0
"411",13,1,20,1,1,0,1,"p21",0
"412",225,2,19,0,0,1,0,"p21",0
"413",149,2,21,0,0,0,1,"p21",0
"414",70,1,19,0,1,1,1,"p21",0
"415",229,2,18,0,0,0,0,"p21",0
"416",324,3,18,0,1,1,0,"p21",0
"417",283,3,19,0,1,0,0,"p21",0
"418",221,2,19,0,0,1,0,"p21",1
"419",213,2,19,0,1,1,0,"p31",1
"420",117,1,19,0,1,1,0,"p31",0
"421",336,3,19,0,1,1,0,"p31",0
"422",101,1,19,0,0,1,0,"p31",0
"423",312,3,19,0,1,1,0,"p31",0
"424",23,1,19,0,1,1,0,"p31",0
"425",306,3,19,0,1,1,0,"p31",0
"426",58,1,18,0,1,1,0,"p31",0
"427",3,1,24,1,1,0,1,"p31",0
"428",264,3,19,1,0,0,1,"p31",0
"429",187,2,19,0,0,0,0,"p31",0
"430",251,3,20,0,1,1,0,"p31",0
"431",65,1,19,0,1,1,0,"p31",0
"432",235,3,26,0,0,0,1,"p31",0
"433",72,1,19,0,0,0,0,"p31",0
"434",114,1,19,0,0,0,0,"p31",0
"435",272,3,19,0,1,1,0,"p31",1
"436",233,2,19,0,0,1,0,"p31",0
"437",249,3,20,0,0,0,1,"p31",0
"438",319,3,19,0,1,1,0,"p31",0
"439",63,1,18,0,1,1,0,"p31",0
"440",217,2,19,0,0,1,0,"p31",0
"441",79,1,18,0,1,1,0,"p31",0
"442",73,1,19,0,1,0,0,"p31",0
"443",196,2,19,0,0,0,0,"p31",0
"444",43,1,19,0,0,0,0,"p31",0
"445",104,1,19,0,1,1,0,"p31",0
"446",59,1,18,0,1,0,0,"p31",0
"447",211,2,18,0,1,1,0,"p31",0
"448",151,2,20,1,0,0,1,"p31",0
"449",294,3,20,1,0,0,1,"p31",0
"450",242,3,22,1,0,0,0,"p31",0
"451",287,3,19,0,0,0,0,"p31",0
"452",37,1,19,0,1,0,0,"p31",0
"453",300,3,19,0,1,1,0,"p31",0
"454",183,2,19,0,1,1,0,"p31",1
"455",308,3,19,0,1,1,0,"p31",0
"456",100,1,18,0,1,1,0,"p31",0
"457",11,1,22,1,1,1,0,"p31",1
"458",160,2,19,0,0,0,0,"p31",0
"459",32,1,19,0,0,0,0,"p31",0
"460",203,2,18,0,0,1,0,"p31",0
"461",62,1,19,0,1,1,0,"p31",0
"462",181,2,18,0,0,1,0,"p31",0
"463",318,3,19,0,1,1,0,"p31",0
"464",139,2,21,1,0,1,1,"p31",0
"465",78,1,22,1,1,0,1,"p31",0
"466",129,2,20,1,0,1,1,"p31",0
"467",325,3,19,1,1,1,1,"p31",0
"468",87,1,18,0,1,1,0,"p31",1
"469",92,1,18,0,1,1,0,"p31",0
"470",49,1,19,0,1,1,0,"p31",0
"471",292,3,19,0,0,0,0,"p31",0
"472",18,1,21,1,1,1,1,"p31",0
"473",25,1,19,0,1,1,0,"p31",0
"474",95,1,19,0,1,1,0,"p31",1
"475",110,1,19,0,1,1,0,"p31",0
"476",91,1,18,0,1,1,0,"p31",0
"477",208,2,19,0,0,0,0,"p31",0
"478",167,2,19,0,0,0,0,"p31",0
"479",191,2,18,0,0,1,0,"p31",0
"480",171,2,19,0,0,1,0,"p31",0
"481",195,2,24,0,0,1,0,"p31",0
"482",263,3,21,1,0,0,1,"p31",0
"483",137,2,20,1,0,0,1,"p31",0
"484",226,2,18,0,1,1,0,"p31",0
"485",6,1,21,0,1,0,0,"p31",0
"486",316,3,20,1,1,1,1,"p31",0
"487",68,1,18,0,0,1,0,"p31",0
"488",212,2,19,0,1,1,0,"p31",0
"489",39,1,19,0,1,1,0,"p31",0
"490",286,3,19,0,1,0,0,"p31",0
"491",317,3,19,0,1,1,0,"p31",0
"492",206,2,19,0,1,1,0,"p31",0
"493",36,1,19,0,1,1,0,"p31",0
"494",10,1,20,0,1,1,0,"p31",0
"495",285,3,19,0,1,0,0,"p31",0
"496",331,3,19,1,1,1,1,"p31",0
"497",84,1,22,1,1,0,1,"p31",0
"498",46,1,19,0,1,0,0,"p31",0
"499",289,3,19,0,1,1,0,"p31",0
"500",118,1,18,0,1,1,0,"p31",0
"501",241,3,22,1,0,0,1,"p31",0
"502",198,2,20,1,0,1,1,"p31",0
"503",150,2,20,0,0,0,0,"p31",0
"504",227,2,19,0,0,1,0,"p31",0
"505",200,2,18,0,0,0,0,"p31",0
"506",274,3,19,0,1,1,0,"p31",0
"507",170,2,19,0,1,1,0,"p31",1
"508",210,2,18,0,0,0,0,"p31",0
"509",106,1,19,0,1,1,0,"p31",1
"510",266,3,19,0,1,1,0,"p31",0
"511",19,1,19,0,0,1,0,"p31",0
"512",164,2,19,0,1,1,0,"p31",1
"513",44,1,19,0,1,1,0,"p31",0
"514",207,2,18,0,0,1,0,"p31",0
"515",220,2,18,1,0,0,0,"p31",0
"516",157,2,19,0,0,0,0,"p31",0
"517",103,1,19,0,1,0,0,"p31",0
"518",99,1,19,0,1,1,0,"p31",0
"519",22,1,19,0,1,1,0,"p31",0
"520",333,3,19,0,0,0,0,"p31",0
"521",90,1,18,0,0,0,0,"p31",0
"522",262,3,20,1,0,0,1,"p31",0
"523",330,3,18,0,0,0,0,"p31",0
"524",284,3,20,1,0,0,1,"p31",0
"525",77,1,19,0,1,1,0,"p31",0
"526",16,1,21,0,0,0,1,"p31",0
"527",315,3,19,0,0,0,1,"p31",0
"528",119,1,19,0,0,1,0,"p31",0
"529",288,3,19,0,1,1,0,"p31",0
"530",278,3,19,0,1,0,0,"p31",0
"531",38,1,19,0,0,0,0,"p31",0
"532",50,1,19,0,1,1,0,"p31",0
"533",113,1,19,0,0,0,0,"p31",0
"534",218,2,18,0,1,0,0,"p31",0
"535",158,2,19,0,0,0,0,"p31",0
"536",311,3,19,0,0,0,0,"p31",0
"537",134,2,20,0,1,1,1,"p31",0
"538",305,3,18,0,0,0,0,"p31",0
"539",66,1,18,0,1,1,0,"p31",0
"540",69,1,18,0,1,1,0,"p31",0
"541",184,2,18,0,1,1,0,"p31",1
"542",337,3,18,0,0,0,0,"p31",0
"543",161,2,21,0,1,1,0,"p31",0
"544",98,1,19,0,1,0,0,"p31",0
"545",97,1,19,0,0,0,0,"p31",0
"546",154,2,19,0,0,1,0,"p31",0
"547",176,2,19,0,0,1,1,"p31",0
"548",40,1,19,0,1,1,0,"p31",0
"549",290,3,19,0,0,0,0,"p31",0
"550",12,1,20,1,1,0,1,"p31",0
"551",83,1,19,0,0,0,0,"p31",0
"552",275,3,19,0,0,0,0,"p31",0
"553",280,3,19,0,0,0,0,"p31",0
"554",123,2,22,1,1,1,1,"p31",1
"555",86,1,18,0,0,0,0,"p31",0
"556",111,1,21,1,1,1,0,"p31",1
"557",273,3,26,0,1,0,1,"p31",0
"558",30,1,19,0,1,1,0,"p31",0
"559",232,2,19,0,1,1,0,"p31",0
"560",240,3,22,1,1,0,0,"p31",1
"561",314,3,20,0,0,0,1,"p31",0
"562",190,2,18,0,0,1,0,"p31",0
"563",295,3,19,0,1,1,0,"p31",0
"564",323,3,19,0,1,0,1,"p31",0
"565",17,1,20,0,1,1,1,"p31",0
"566",172,2,19,0,1,1,0,"p31",0
"567",247,3,21,0,1,1,0,"p31",0
"568",27,1,19,0,1,1,0,"p31",0
"569",169,2,19,1,0,0,0,"p31",0
"570",56,1,19,0,0,1,0,"p31",0
"571",57,1,18,0,0,1,0,"p31",0
"572",147,2,19,0,0,0,0,"p31",0
"573",188,2,19,0,1,0,0,"p31",0
"574",148,2,19,0,1,1,0,"p31",0
"575",269,3,19,0,0,0,0,"p31",0
"576",47,1,19,0,1,1,0,"p31",1
"577",108,1,20,1,1,1,1,"p31",0
"578",197,2,19,0,0,1,0,"p31",1
"579",120,1,27,1,0,0,0,"p31",0
"580",255,3,20,0,0,0,0,"p31",0
"581",209,2,19,0,1,0,0,"p31",0
"582",182,2,18,0,1,1,0,"p31",0
"583",14,1,20,0,1,0,0,"p31",0
"584",293,3,19,0,1,1,0,"p31",0
"585",88,1,18,0,1,0,0,"p31",0
"586",42,1,19,0,0,0,0,"p31",0
"587",254,3,20,1,1,0,1,"p31",0
"588",55,1,19,0,0,0,0,"p31",0
"589",307,3,18,0,1,1,0,"p31",0
"590",67,1,18,0,1,1,0,"p31",0
"591",159,2,19,0,1,1,0,"p31",0
