;departamen;Seccion;latMin;latMax;lonMin;lonMax
117;CANELONES;21a - CANELONES;-34,74849339;-34,57790391;-56,220435;-56,13803579
118;CANELONES;5a - CANELONES;-34,77007199;-34,68185038;-56,32394352;-56,21459723
119;TACUAREMBO;2a - TACUAREMBO;-31,79931102;-31,71655941;-56,04297864;-55,87841956
120;TACUAREMBO;3a - TACUAREMBO;-32,86661958;-32,63148149;-56,68357308;-56,38135307
121;TACUAREMBO;4a - TACUAREMBO;-32,68425839;-32,20205726;-56,052151;-55,64605789
122;TACUAREMBO;16a - TACUAREMBO;-32,81934819;-32,3573367;-56,59641433;-56,11119517
123;TACUAREMBO;11a - TACUAREMBO;-32,68866883;-32,22697831;-56,50653973;-55,93588214
124;TACUAREMBO;5a - TACUAREMBO;-32,30165606;-31,87800027;-56,36528802;-55,78427199
125;TACUAREMBO;6a - TACUAREMBO;-31,74874351;-31,54697205;-56,36659158;-55,98810407
126;TACUAREMBO;13a - TACUAREMBO;-32,01629096;-31,7214865;-56,2746518;-55,69812806
127;TACUAREMBO;10a - TACUAREMBO;-31,70799795;-31,30552706;-56,32946649;-55,90172033
128;TACUAREMBO;12a - TACUAREMBO;-31,65667073;-31,23060724;-56,18386893;-55,68779486
129;TACUAREMBO;14a - TACUAREMBO;-32,03437442;-31,52926305;-55,96458998;-55,46066099
130;TREINTA Y TRES;5a - TREINTA Y TRES;-33,25473633;-32,79553775;-54,86412441;-54,42203761
131;TREINTA Y TRES;4a - TREINTA Y TRES;-33,11422679;-32,71088807;-54,57754156;-54,05231465
132;TREINTA Y TRES;11a - TREINTA Y TRES;-33,29947687;-32,92852666;-54,39841448;-53,96570953
133;TREINTA Y TRES;6a - TREINTA Y TRES;-33,4445515;-33,03522399;-55,15964912;-54,51360483
134;TREINTA Y TRES;7a - TREINTA Y TRES;-33,46417268;-33,20231339;-54,79285888;-53,86270063
135;MALDONADO;8a - MALDONADO;-34,38871511;-33,92774305;-54,81889631;-54,46324785
136;MALDONADO;5a - MALDONADO;-34,81965586;-34,61912435;-55,48511321;-55,28773449
137;MALDONADO;10a - MALDONADO;-34,97384158;-34,8758339;-54,95719762;-54,86171998
138;MALDONADO;11a - MALDONADO;-34,90491491;-34,78089734;-55,32783383;-55,0689447
139;MALDONADO;12a - MALDONADO;-34,91896312;-34,75500499;-54,93584669;-54,66942536
140;MALDONADO;13a - MALDONADO;-34,84914534;-34,6631875;-54,70024398;-54,52343015
141;MALDONADO;7a - MALDONADO;-34,75659832;-34,38357983;-54,71709028;-54,50139474
142;ROCHA;12a - ROCHA;-34,57370349;-34,16412741;-54,57673428;-54,14519799
143;MALDONADO;3a - MALDONADO;-34,86267447;-34,49243212;-55,35635984;-55,02882246
144;MALDONADO;4a - MALDONADO;-34,77368905;-34,40228999;-55,17572791;-54,87613977
145;MALDONADO;9a - MALDONADO;-34,54881417;-34,23604106;-54,86534231;-54,48097959
146;MALDONADO;6a - MALDONADO;-34,91482959;-34,73390882;-55,02330339;-54,91459641
147;MALDONADO;1a - MALDONADO;-34,93296067;-34,75424091;-55,10955618;-54,93195681
148;MALDONADO;2a - MALDONADO;-34,81995913;-34,40228999;-54,99487956;-54,66545911
149;COLONIA;3a - COLONIA;-34,05702935;-33,94664495;-58,36604018;-58,22012447
150;COLONIA;9a - COLONIA;-34,27550489;-34,02331357;-58,24814905;-57,86454035
151;CERRO LARGO;8a - CERRO LARGO;-32,85018603;-32,41280447;-55,0196869;-54,52815148
152;CERRO LARGO;9a - CERRO LARGO;-33,02976141;-32,44477745;-55,35582927;-54,81781646
153;MONTEVIDEO;25a - MONTEVIDEO;-34,8708317;-34,82040021;-56,12650119;-56,06965841
154;SAN JOSE;11a - SAN JOSE;-34,78843879;-34,74462127;-56,40617043;-56,34226296
155;CANELONES;25a - CANELONES;-34,78670259;-34,71274054;-56,03332772;-55,9056962
156;MONTEVIDEO;19a - MONTEVIDEO;-34,88093609;-34,81263562;-56,25721936;-56,21285509
157;SALTO;2a - SALTO;-31,39898358;-31,37754647;-57,95985652;-57,9175374
158;SALTO;5a - SALTO;-31,38292997;-31,19097704;-57,98593928;-57,77040085
159;CERRO LARGO;2a - CERRO LARGO;-32,77861567;-32,38644197;-54,05437068;-53,4824913
160;MONTEVIDEO;1a - MONTEVIDEO;-34,91343538;-34,89905276;-56,22293314;-56,19707997
161;MONTEVIDEO;2a - MONTEVIDEO;-34,91610273;-34,9032592;-56,19801696;-56,17786249
162;ARTIGAS;1a - ARTIGAS;-30,42910323;-30,38466401;-56,47934894;-56,44433941
163;MONTEVIDEO;3a - MONTEVIDEO;-34,90631395;-34,89169639;-56,20105072;-56,17543492
164;MONTEVIDEO;4a - MONTEVIDEO;-34,9015982;-34,8764914;-56,18613434;-56,16448503
165;SALTO;1a - SALTO;-31,40048737;-31,38008666;-57,97707162;-57,95759029
166;MONTEVIDEO;9a - MONTEVIDEO;-34,9030693;-34,87658283;-56,16542577;-56,13165903
167;MONTEVIDEO;15a - MONTEVIDEO;-34,88711839;-34,86465789;-56,15106238;-56,09900634
168;MONTEVIDEO;16a - MONTEVIDEO;-34,87325861;-34,83059685;-56,15577913;-56,1019494
169;MONTEVIDEO;17a - MONTEVIDEO;-34,84719479;-34,75516172;-56,19384296;-56,11005007
170;MONTEVIDEO;18a - MONTEVIDEO;-34,84729899;-34,75020199;-56,14467933;-56,02905156
