"","Id","Grupo","Edad","Sexo","Dedica_AP1","Dedica_DP1","ConPrevio","p11","p21","p31","p41","p51","p61","p71","p81","p91","p101","p12","p22","p32","p42","p52","p62","p72","p82","p92","p102"
"188",75,1,19,"F",1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0
"189",214,2,19,"F",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"190",277,3,19,"F",1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"191",225,2,19,"F",0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"192",149,2,21,"F",0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"193",70,1,19,"F",1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0
"194",229,2,18,"F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",296,3,19,"F",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"196",324,3,18,"F",1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
"197",221,2,19,"F",0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1
